Activation,Outcome,Instability,Object,Size,Material,Interaction,Approach,EEF_Position,Start_Time,
0.07134387351778657,FAILURE,0.016233746081069568,TRI_PRISM,LARGE,RIGID,FREE,TOP,CENTER,1785493430.237,
0.0705357142857143,FAILURE,0.012335242473689757,ASYM_RECT,LARGE,RIGID,FREE,FRONT,FAR,1785498379.752,
0.06983830845771144,SUCCESS,0.012438690421897231,CYLINDER,SMALL,RIGID,FREE,FRONT,CLOSE,1785460369.729,
0.06712328767123288,FAILURE,0.012408301446887818,ASYM_RECT,LARGE,RIGID,FREE,FRONT,CLOSE,1785498080.378,
0.06607727570399474,FAILURE,0.011747144470572842,CYLINDER,LARGE,RIGID,STRING,FRONT,FAR,1785487494.790,
0.06453900709219858,FAILURE,0.016324608856709825,CYLINDER,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785486312.417,
0.06430615164520743,FAILURE,0.014010789067447701,ASYM_RECT,LARGE,RIGID,FREE,FRONT,CLOSE,1785498204.308,
0.06175173282923755,FAILURE,0.012787264082506883,TRI_PRISM,LARGE,COMPLIANT,STRING,FRONT,CLOSE,1785492403.413,
0.06114605171208946,FAILURE,0.012770503124416101,TRI_PRISM,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785494427.905,
0.060476190476190475,FAILURE,0.012793580511016757,ASYM_RECT,LARGE,RIGID,FREE,FRONT,CENTER,1785500609.354,
0.05812163202463433,FAILURE,0.016682232681763044,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785499595.685,
0.05676375404530744,FAILURE,0.016581802407860655,TRI_PRISM,SMALL,COMPLIANT,STRING,FRONT,FAR,1785480748.852,
0.056595744680851066,FAILURE,0.012706420910052621,CYLINDER,LARGE,COMPLIANT,STRING,FRONT,FAR,1785487724.035,
0.055798687089715526,FAILURE,0.014680388277930046,TRI_PRISM,LARGE,RIGID,FREE,FRONT,CLOSE,1785492504.044,
0.055408388520971304,FAILURE,0.009699453533743756,CYLINDER,LARGE,RIGID,FREE,FRONT,FAR,1785487038.775,
0.054013605442176885,FAILURE,0.016952667528422595,TRI_PRISM,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785491682.577,
0.0535487959442332,FAILURE,0.014023844053883851,TRI_PRISM,SMALL,RIGID,STRING,FRONT,FAR,1785480928.573,
